Ranking 2023,Country,Score 2023,Political Context 2023,Economic Context 2023,Legal Framework 2023,Safety Score 2023,Sociocultural Context 2023,Difference In Position From 2022,Year 2023,Ranking 2022,Score 2022,Political Context 2022,Economic Context 2022,Legal Framework 2022,Safety Score 2022,Sociocultural Context 2022,Year 2022
86,Mauritania,59.45,54.06,47.06,57.55,77.78,60.8,11,2023,97,58.1,55.15,35.13,64.29,71.67,64.29,2022
87,Zambia,59.41,61.77,38.89,56.76,81.46,58.14,22,2023,109,55.4,52.35,37.76,58.33,64.55,64.0,2022
88,Mongolia,59.33,54.66,38.95,59.61,79.49,63.95,2,2023,90,59.17,55.48,36.18,60.37,74.27,69.55,2022
89,Fiji,59.27,53.13,45.1,55.97,79.26,62.88,13,2023,102,56.91,44.85,39.8,58.33,77.55,64.0,2022
90,Bhutan,59.25,62.08,50.49,46.54,87.62,49.51,-57,2023,33,76.46,78.79,62.24,70.39,93.88,77.0,2022
91,Serbia,59.16,45.27,39.15,77.18,74.31,59.87,-12,2023,79,61.51,47.47,34.92,79.92,71.03,74.22,2022
92,Brazil,58.67,55.79,52.59,72.44,36.3,76.22,18,2023,110,55.36,51.62,37.59,69.74,47.86,70.0,2022
93,OECS,58.36,55.47,45.34,54.01,77.04,59.94,-38,2023,55,68.49,62.91,48.37,68.25,83.13,79.8,2022
94,Gabon,58.12,48.33,46.57,57.39,80.17,58.14,11,2023,105,56.0,48.38,39.46,56.14,70.52,62.5,2022
95,Nepal,57.89,58.44,44.61,66.27,59.04,61.08,-19,2023,76,62.67,59.8,40.14,66.08,69.99,77.33,2022
96,Albania,57.86,47.76,35.13,67.61,70.45,68.37,7,2023,103,56.41,50.55,29.39,68.77,66.75,66.6,2022
97,Israel,57.57,62.71,57.52,47.17,44.3,76.14,-11,2023,86,59.62,65.15,55.1,53.51,46.61,77.75,2022
100,Maldives,56.93,53.75,32.84,59.91,82.48,55.68,-13,2023,87,59.55,62.27,38.27,67.11,75.12,55.0,2022
101,Madagascar,56.66,49.03,36.71,60.69,78.39,58.46,-3,2023,98,58.02,52.58,35.08,64.47,73.47,64.5,2022
102,Mozambique,56.13,49.17,46.51,66.98,52.73,65.28,14,2023,116,49.89,46.06,40.31,61.62,54.21,47.25,2022
